A

ili		ils/elles
imag/i* 	imaginer
indian/o*	Indien (américain)
infan/o 	enfant
inform/i+	informer
insekt/o*	insecte
instru/i*	enseigner, instruire
inter		entre, parmi (préposition)
interes/o	intérêt
interes/i	intéresser, s'intéresser à (trans.)
intern/a	interne, à l'intérieur
invit/i+	inviter
ir/i		aller

J

ja		en effet (particule pour renforcer)
jaht/o*	 	yacht
jam		déjà (adverbe)
januar/o*	janvier
japan/o+	Japonais
jar/o		an/année
je		préposition à sens indéterminé
jen		voici, voilà
jes		oui
jug/i+ 	 	juger
juli/o* 	juillet
jun/a		jeune
juni/o* 	juin
just/a		juste, équitable

J

jaluz/a*	jaloux
jaud/o*		jeudi
jet/i		jeter
jurnal/o*	journal
jus		juste, juste maintenant (adverbe)

K

kaf/o*		café
kag/o+ 	 	cage
kaj		et (conjonction)
kalkul/i	calculer, compter
kamp/o		champ
kanjon/o*	canyon
kant/i		chanter
kap/o		tête
kapt/i		attraper
kar/a		chère
kart/o+ 	carte (postale)
kas/i		cacher (trans.)
kat/o		chat
kauz/o 	 	cause
ke		que (conjonction)
kelk/a		quelque
kis/i+		embrasser (baisée)
klar/a		claire (à comprendre)
kler/a+ 	instruit
klin/i* 	plier, incliner (trans.)
klopod/i+	s'efforcer
klub/o* 	club, groupe
knab/o		garçon (knabino : fille)
kok/o+		coq
kol/o		cou
kolekt/i	collectionner, rassembler (trans.)
koler/i 	être en colère
kolor/o 	couleur
komb/i+ 	peigner
komenc/i	commencer (quelque chose) (trans.)
komerc/i	commercer
komplet/a+	complet
kompren/i	comprendre
komun/a 	commun, général
kon/i		connaître
kondic/o+	condition
konduk/i	conduire
konflikt/o+	conflit
kongres/o*	congrès,
konsent/i	consentir, être d'accord
konsil/i	conseiller
konstru/i	construire
kontent/a	satisfait, content
kontinent/o+	continent
kontrau	 	contre, opposé (préposition)
kopi/i+ 	copier
kor/o		coeur
korespond/i*	correspondre, échanger des lettres
korp/o		corps
kort/o		cour
kost/i		coûter
kovert/o*	enveloppe
kovr/i		couvrir
krajon/o+	crayon
kre/i+		créer
kred/i		croire
kresk/i 	croître
kri/i		crier
krom		excepté (préposition)
ktp*		"kaj tiel plu" ("et ainsi de suite" etc.) (abbr.)
kuler/o+	cuillère
kuir/i		cuisiner
kuk/o*		gâteau
kun		avec (préposition)
kunikl/o*	lapin
kur/i		courir
kurac/i+	soigner
kurag/a	 	courageux
kurs/o* 	cours,
kus/i		être couché, reposer
kutim/o 	coutume, habitude
kvankam 	bien que (conjonction)
kvar		quatre
kvazau 	 	comme si (conjonction, adverbe)
kvin		cinq

L

la		le, la, les (article défini)
labor/i 	travailler
lac/a		fatigué
lag/o+		lac
lakt/o		lait
lamp/o+ 	lampe
land/o		pays
larg/a 	 	large
las/i		laisser, quitter
last/a		dernier
lau		le long de, d'après (préposition)
laud/i+	 	louer, louanger
lav/i		laver (trans.)
lecion/o*	leçon
leg/i		lire
leg/o+ 		loi
lern/i		apprendre (quelque chose)
leter/o 	lettre (correspondance)
lev/i		lever
li		il
liber/a 	libre
libr/o		livre
lig/o		ligue, lien
lig/i		lier, attacher
lign/o		bois
limonad/o*	limonade
lingv/o 	langue, langage
lini/o		ligne
lip/o+		lèvre
lit/o		lit
liter/o+	lettre (alphabet)
log/i+		attire, leurrer
log/i		 loger, habiter
lok/o		lieu, endroit
London/o*	Londres
long/a		long
lud/i		jouer
lum/i		briller, luire
lund/o* 	lundi
lun/o+		Lune

M

maj/o*		mai
