***NAMEDLABELSIDS***	06	32C
**BIAS**	0.00000000000000000000 0.63408523797988891602
DEP-SUBJ-lemma:destruição	0.00000000000000000000 0.12949125468730926514
DEP-CDIR-lemma:ver	0.00000000000000000000 0.12948876619338989258
DEP-MOD-lemma:já	0.00000000000000000000 0.42995887994766235352
TOK-2-lemma:estar	0.00000000000000000000 0.28795631974935531616
TOK-3-lemma:agora	0.00000000000000000000 0.08779753372073173523
TOK+1-lemma:um	0.00000000000000000000 0.40541933476924896240
TOK+2-lemma:largo	0.00000000000000000000 0.08777320757508277893
TOK+3-lemma:proporção	0.00000000000000000000 0.08777201548218727112
DEP-SUBJ-lemma:proporção	0.00000000000000000000 0.08777078241109848022
DEP-MOD-lemma:agora	0.00000000000000000000 0.50628076493740081787
TOK+1-lemma:assim_que	0.00000000000000000000 -0.14334387704730033875
TOK+2-lemma:o_principal_chefe	0.00000000000000000000 -0.14333796128630638123
TOK+3-pos:AP	0.00000000000000000000 -0.45040282607078552246
TOK+3-lemma:militar	0.00000000000000000000 -0.14328964799642562866
DEP-SUBJ-lemma:condecoração	0.00000000000000000000 -0.14328373968601226807
DEP-MOD-lemma:limpar	0.00000000000000000000 -0.14327790960669517517
TOK+1-lemma:amanhã	0.00000000000000000000 -0.50226069986820220947
TOK+2-lemma:.	0.00000000000000000000 -0.36967442929744720459
DEP-MOD-lemma:amanhã	0.00000000000000000000 -0.50196117162704467773
TOK+3-lemma:o_futuro	0.00000000000000000000 -0.33327518403530120850
DEP-SUBJ-pos:ART	0.00000000000000000000 0.45311407744884490967
DEP-SUBJ-lemma:o	0.00000000000000000000 0.45267212390899658203
DEP-MOD-lemma:reservar	0.00000000000000000000 -0.33292965590953826904
TOK-1-lemma:como_se	0.00000000000000000000 -0.22214456647634506226
DEP-SUBJ-lemma:Dobbit	0.00000000000000000000 -0.56443908810615539551
DEP-CDIR-lemma:aliado	0.00000000000000000000 -0.56425768136978149414
DEP-MOD-pos:PRON	0.00000000000000000000 -0.55942793190479278564
DEP-MOD-lemma:eu	0.00000000000000000000 -0.50759215652942657471
TOK-2-lemma:depois	0.00000000000000000000 -0.14561858400702476501
TOK+1-lemma:se	0.00000000000000000000 -0.41707751154899597168
TOK+2-lemma:o_equipa	0.00000000000000000000 -0.14558625221252441406
TOK+3-pos:VTEMP	0.00000000000000000000 -0.14557898417115211487
TOK+3-lemma:ir	0.00000000000000000000 -0.14557174965739250183
DEP-MOD-lemma:depois	0.00000000000000000000 -0.14556447789072990417
DEP-MOD-lemma:saber	0.00000000000000000000 -0.14555726945400238037
TOK-1-lemma:só	0.00000000000000000000 0.25327204912900924683
DEP-SUBJ-lemma:vulnerabilidade	0.00000000000000000000 0.17888959497213363647
DEP-MOD-lemma:só	0.00000000000000000000 0.29699610173702239990
DEP-MOD-lemma:informação_secreta	0.00000000000000000000 0.17887274175882339478
TOK-1-lemma:Câmara_de_Lisboa	0.00000000000000000000 -0.32458166778087615967
TOK-3-pos:PASTPART	0.00000000000000000000 -0.32454022765159606934
TOK-3-lemma:conquistar	0.00000000000000000000 -0.32449893653392791748
TOK+2-lemma:isto	0.00000000000000000000 -0.32445760071277618408
DEP-SUBJ-lemma:outro	0.00000000000000000000 -0.32441635429859161377
DEP-MOD-lemma:isto	0.00000000000000000000 -0.32437506318092346191
DEP-MOD-lemma:prestar	0.00000000000000000000 -0.32433374226093292236
TOK+2-lemma:a	0.00000000000000000000 -0.17421460151672363281
DEP-MOD-lemma:marido	0.00000000000000000000 -0.12906968966126441956
DEP-MOD-sem:sem-hfam	0.00000000000000000000 -0.25812328606843948364
DEP-MOD-lemma:filho	0.00000000000000000000 -0.12902920693159103394
TOK-3-lemma:adaptação	0.00000000000000000000 -0.03349488414824008942
TOK+2-lemma:o_período_de_transição	0.00000000000000000000 -0.03349034208804368973
TOK-1-lemma:então	0.00000000000000000000 -0.20728734135627746582
TOK+3-lemma:dizer	0.00000000000000000000 -0.39690539240837097168
DEP-MOD-lemma:dizer	0.00000000000000000000 -0.55636379122734069824
TOK-3-pos:NUM	0.00000000000000000000 0.38173224031925201416
TOK-3-lemma:zero	0.00000000000000000000 0.04453558102250099182
TOK+1-lemma:pessoa	0.00000000000000000000 0.08526730537414550781
TOK+3-lemma:andar	0.00000000000000000000 0.04453247971832752228
DEP-MOD-lemma:andar	0.00000000000000000000 0.04453164897859096527
DEP-MOD-lemma:ter	0.00000000000000000000 0.04562220908701419830
DEP-SUBJ-lemma:funcionalidade	0.00000000000000000000 0.15012045204639434814
TOK-2-lemma:ano	0.00000000000000000000 -0.23438437283039093018
TOK-3-lemma:trinta_e_nove	0.00000000000000000000 -0.23437886685132980347
TOK+2-lemma:prisão_preventiva	0.00000000000000000000 -0.23437330126762390137
TOK+3-pos:PASTPART	0.00000000000000000000 0.02018509991466999054
TOK+3-lemma:confirmar	0.00000000000000000000 -0.23434550315141677856
DEP-CDIR-lemma:prisão_preventiva	0.00000000000000000000 -0.23433993756771087646
DEP-MOD-lemma:tribunal_de_Albufeira	0.00000000000000000000 -0.23433429747819900513
DEP-MOD-lemma:remeter	0.00000000000000000000 -0.23432873934507369995
TOK-1-lemma:agora	0.00000000000000000000 -0.11463192105293273926
TOK-2-lemma:mas	0.00000000000000000000 -0.11462835967540740967
TOK+2-pos:PP	0.00000000000000000000 -0.11462479829788208008
TOK+2-lemma:com_o_apoio	0.00000000000000000000 -0.11462122946977615356
TOK+3-pos:PP	0.00000000000000000000 -0.26920712739229202271
TOK+3-lemma:de_um_público	0.00000000000000000000 -0.11459951475262641907
DEP-CDIR-pos:PASTPART	0.00000000000000000000 -0.11459598317742347717
DEP-CDIR-lemma:fazer	0.00000000000000000000 -0.11459241062402725220
DEP-MOD-lemma:fazer	0.00000000000000000000 0.01088566356338560581
TOK-2-lemma:domingo	0.00000000000000000000 -0.08069108985364437103
DEP-SUBJ-lemma:Secretário	0.00000000000000000000 -0.08068391680717468262
DEP-MOD-lemma:partida	0.00000000000000000000 -0.08067672699689865112
DEP-MOD-sem:sem-occ	0.00000000000000000000 -0.30624826997518539429
DEP-MOD-lemma:Beira-Mar	0.00000000000000000000 -0.08064411021769046783
DEP-MOD-lemma:estiramento	0.00000000000000000000 -0.08063697069883346558
DEP-MOD-lemma:joelho	0.00000000000000000000 -0.08062975481152534485
TOK-3-lemma:Chacao	0.00000000000000000000 -0.15188024938106536865
TOK+1-pos:PASTPART	0.00000000000000000000 -1.04595455527305603027
TOK+1-lemma:frustrar	0.00000000000000000000 -0.15168062597513198853
DEP-SUBJ-lemma:miss	0.00000000000000000000 -0.15166968852281570435
TOK-1-lemma:ser	0.00000000000000000000 0.37871371209621429443
TOK-2-lemma:poder	0.00000000000000000000 0.06870795972645282745
TOK+2-lemma:um	0.00000000000000000000 -0.32781922817230224609
TOK+3-lemma:"_ingerência_"	0.00000000000000000000 -0.33096095919609069824
DEP-SUBJ-lemma:"_ingerência_"	0.00000000000000000000 -0.33095258474349975586
DEP-MOD-lemma:ordem_jurídica	0.00000000000000000000 -0.33094424009323120117
TOK+1-lemma:...	0.00000000000000000000 0.19473209977149963379
TOK-1-lemma:nunca	0.00000000000000000000 0.38249474763870239258
TOK+2-lemma:nenhum	0.00000000000000000000 0.06866381876170635223
TOK+3-lemma:jornal	0.00000000000000000000 0.06866129860281944275
DEP-CDIR-lemma:declaração_final	0.00000000000000000000 0.06865875609219074249
DEP-MOD-lemma:jornal	0.00000000000000000000 0.06865624897181987762
DEP-MOD-sem:sem-sem-r	0.00000000000000000000 0.42424252629280090332
DEP-MOD-lemma:valas-comun	0.00000000000000000000 0.06862743943929672241
DEP-MOD-lemma:Bósnia	0.00000000000000000000 0.06862491928040981293
DEP-MOD-lemma:nunca	0.00000000000000000000 0.53043480217456817627
TOK-1-lemma:se	0.00000000000000000000 0.17158292979001998901
TOK+2-lemma:reconhecer	0.00000000000000000000 0.02142108418047428131
TOK+3-lemma:/	0.00000000000000000000 0.02142089698463678360
DEP-MOD-lemma:reconhecer	0.00000000000000000000 0.02142070885747671127
TOK+1-lemma:e	0.00000000000000000000 0.18912059068679809570
TOK+2-lemma:ouvir	0.00000000000000000000 0.18911434710025787354
DEP-SUBJ-lemma:avião	0.00000000000000000000 0.09198617562651634216
DEP-SUBJ-sem:sem-v2	0.00000000000000000000 0.18397042900323867798
DEP-SUBJ-lemma:helicóptero	0.00000000000000000000 0.09198136627674102783
DEP-CDIR-lemma:opositor	0.00000000000000000000 -0.37540015578269958496
DEP-MOD-lemma:Tiger	0.00000000000000000000 -0.37532705068588256836
DEP-SUBJ-lemma:responsável	0.00000000000000000000 0.05325990542769432068
DEP-CDIR-lemma:obstáculo	0.00000000000000000000 0.05325969494879245758
DEP-MOD-lemma:participação	0.00000000000000000000 0.05325949005782604218
DEP-MOD-lemma:bolsa	0.00000000000000000000 0.05325927957892417908
DEP-MOD-sem:sem-con	0.00000000000000000000 0.48007273674011230469
DEP-MOD-sem:sem-mon	0.00000000000000000000 0.23114414513111114502
TOK-3-lemma:imagem	0.00000000000000000000 0.13337114080786705017
TOK+2-lemma:para	0.00000000000000000000 0.13336774706840515137
DEP-SUBJ-lemma:imagem	0.00000000000000000000 0.26546603441238403320
DEP-MOD-lemma:assinante	0.00000000000000000000 0.13335414230823516846
DEP-MOD-lemma:vinte_e_um_hora	0.00000000000000000000 0.13335074111819267273
TOK-2-pos:NUM	0.00000000000000000000 -0.23496971279382705688
TOK-2-lemma:primeiro	0.00000000000000000000 0.15169759094715118408
TOK+2-lemma:mulher	0.00000000000000000000 0.15169459581375122070
TOK+3-pos:ADJ	0.00000000000000000000 -0.27822525799274444580
TOK+3-lemma:interessante	0.00000000000000000000 0.15169097483158111572
DEP-SUBJ-lemma:mulher	0.00000000000000000000 0.15168797969818115234
DEP-CDIR-lemma:reinvindicaçõe	0.00000000000000000000 -0.33822378516197204590
TOK-2-lemma:"	0.00000000000000000000 -0.21586642414331436157
TOK-3-lemma:esquerda	0.00000000000000000000 0.18901196122169494629
TOK+2-lemma:neste_ponto	0.00000000000000000000 0.18900947272777557373
DEP-MOD-lemma:neste_ponto	0.00000000000000000000 0.18900698423385620117
TOK-1-lemma:partido	0.00000000000000000000 -0.35699683427810668945
TOK-3-lemma:assim	0.00000000000000000000 -0.35696810483932495117
DEP-SUBJ-lemma:partido	0.00000000000000000000 -0.35693921148777008057
DEP-SUBJ-sem:sem-HH	0.00000000000000000000 -0.04106913972645998001
DEP-MOD-lemma:assim	0.00000000000000000000 -0.26092962175607681274
TOK-2-lemma:comício	0.00000000000000000000 0.04620094969868659973
TOK+1-lemma:caixa	0.00000000000000000000 0.04619972035288810730
DEP-CDIR-lemma:caixa	0.00000000000000000000 0.04619851522147655487
DEP-CDIR-sem:sem-con	0.00000000000000000000 0.10264874249696731567
DEP-CDIR-sem:sem-unitype	0.00000000000000000000 0.66227138042449951172
TOK-2-lemma:quando	0.00000000000000000000 0.74391630291938781738
DEP-MOD-lemma:momento	0.00000000000000000000 0.30567014217376708984
TOK-1-pos:VASP	0.00000000000000000000 0.17992295324802398682
TOK-1-lemma:estar_a	0.00000000000000000000 0.17991977185010910034
TOK-3-lemma:televisão	0.00000000000000000000 0.17991661280393600464
TOK+1-lemma:mas	0.00000000000000000000 0.17991344630718231201
TOK+3-lemma:próprio	0.00000000000000000000 0.17991025000810623169
DEP-SUBJ-lemma:televisão	0.00000000000000000000 0.17990714311599731445
DEP-SUBJ-sem:sem-sem-w	0.00000000000000000000 0.34894979000091552734
TOK+3-lemma:importância	0.00000000000000000000 0.21067702770233154297
DEP-MOD-lemma:definição	0.00000000000000000000 0.21066065877676010132
DEP-MOD-lemma:enquadrar	0.00000000000000000000 0.21064423024654388428
TOK-2-lemma:povo	0.00000000000000000000 0.23978111147880554199
DEP-SUBJ-lemma:povo	0.00000000000000000000 0.23977850377559661865
TOK-1-lemma:]	0.00000000000000000000 0.10891714692115783691
TOK-2-lemma:este	0.00000000000000000000 0.10891473665833473206
TOK-3-lemma:para	0.00000000000000000000 0.10891225188970565796
TOK+1-pos:ADJ	0.00000000000000000000 0.10890978574752807617
TOK+1-lemma:bom	0.00000000000000000000 0.10890730470418930054
TOK+3-lemma:realidade	0.00000000000000000000 0.10890484228730201721
DEP-CDIR-lemma:realidade	0.00000000000000000000 0.10890237987041473389
DEP-MOD-lemma:Trás-os-Montes	0.00000000000000000000 0.10889989510178565979
TOK-2-lemma:amigo	0.00000000000000000000 0.27920904755592346191
DEP-MOD-lemma:café	0.00000000000000000000 0.27915686368942260742
TOK+3-lemma:sociedade	0.00000000000000000000 0.08482493460178375244
DEP-MOD-lemma:sociedade	0.00000000000000000000 0.08482299745082855225
DEP-MOD-lemma:bem-estar	0.00000000000000000000 0.08482106029987335205
TOK+3-lemma:universidade	0.00000000000000000000 -0.00892593525350093842
DEP-SUBJ-lemma:José_Braga_Gonçalves	0.00000000000000000000 -0.00892594316974282265
DEP-SUBJ-lemma:filho	0.00000000000000000000 0.21760826557874679565
DEP-SUBJ-lemma:homem-forte	0.00000000000000000000 -0.00892333779484033585
DEP-MOD-lemma:universidade	0.00000000000000000000 -0.00892334850504994392
TOK-2-lemma:hoje	0.00000000000000000000 0.03136033006012439728
TOK+3-lemma:sair	0.00000000000000000000 0.04040345735847949982
DEP-MOD-lemma:sair	0.00000000000000000000 0.04040325246751308441
TOK+2-lemma:Lara	0.00000000000000000000 0.01169873215258121490
DEP-SUBJ-lemma:Lara	0.00000000000000000000 0.01169862737879157066
DEP-MOD-lemma:rua	0.00000000000000000000 0.08368222415447235107
DEP-MOD-sem:sem-Lpath	0.00000000000000000000 0.08367938920855522156
DEP-SUBJ-lemma:Grandjó	0.00000000000000000000 0.04938650876283645630
DEP-MOD-pos:ADJ	0.00000000000000000000 0.04938613995909690857
DEP-MOD-lemma:bom	0.00000000000000000000 0.04938576556742191315
DEP-SUBJ-lemma:Microsoft	0.00000000000000000000 0.25077913701534271240
DEP-MOD-lemma:artigo	0.00000000000000000000 0.25076617300510406494
TOK-2-lemma:(	0.00000000000000000000 0.12253371998667716980
TOK-3-lemma:ouvir	0.00000000000000000000 0.12253112345933914185
TOK+1-lemma:)	0.00000000000000000000 0.12252851948142051697
TOK+2-lemma:ao_vivo	0.00000000000000000000 0.12252588197588920593
DEP-MOD-lemma:ao_vivo	0.00000000000000000000 0.12252326309680938721
DEP-MOD-lemma:Sol_música	0.00000000000000000000 0.12252065539360046387
TOK-2-pos:PASTPART	0.00000000000000000000 0.10318489745259284973
TOK-2-lemma:honrar	0.00000000000000000000 0.10318366810679435730
TOK+3-lemma:nome	0.00000000000000000000 0.10318239778280258179
DEP-SUBJ-lemma:nome	0.00000000000000000000 -0.18569673597812652588
DEP-MOD-lemma:manifesto	0.00000000000000000000 0.10318116098642349243
DEP-MOD-lemma:cumprir	0.00000000000000000000 0.10317993164062500000
DEP-MOD-lemma:agência_espacial	0.00000000000000000000 0.09778982028365135193
TOK-3-lemma:Klein	0.00000000000000000000 0.14326438680291175842
TOK+1-lemma:apenas	0.00000000000000000000 0.14326117932796478271
TOK+3-lemma:cor	0.00000000000000000000 0.14325794205069541931
DEP-SUBJ-lemma:cor	0.00000000000000000000 0.14325472712516784668
DEP-MOD-lemma:ainda	0.00000000000000000000 -0.43711492419242858887
DEP-MOD-lemma:apenas	0.00000000000000000000 0.30672428011894226074
TOK-1-lemma:psicanalista	0.00000000000000000000 -0.20218724757432937622
TOK-2-lemma:um	0.00000000000000000000 -0.20217821747064590454
TOK-3-lemma:(	0.00000000000000000000 -0.20216921716928482056
DEP-SUBJ-lemma:psicanalista	0.00000000000000000000 -0.20216017216444015503
DEP-MOD-lemma:fase	0.00000000000000000000 -0.20215114206075668335
TOK-2-lemma:meteorito	0.00000000000000000000 0.17008988559246063232
TOK-3-lemma:um	0.00000000000000000000 0.28994669020175933838
TOK+3-lemma:objeto	0.00000000000000000000 0.17007853835821151733
DEP-CDIR-lemma:objeto	0.00000000000000000000 0.17007523030042648315
DEP-MOD-lemma:perna	0.00000000000000000000 0.17007184773683547974
DEP-SUBJ-lemma:filme	0.00000000000000000000 0.16876453161239624023
TOK+1-lemma:outro	0.00000000000000000000 0.03212225437164306641
TOK+2-lemma:frase	0.00000000000000000000 0.03212206717580556870
TOK+3-lemma::	0.00000000000000000000 -0.03057833947241306305
DEP-CDIR-lemma:frase	0.00000000000000000000 0.03212121967226266861
DEP-SUBJ-lemma:Benigni	0.00000000000000000000 0.23674295842647552490
TOK-1-lemma:autarquia	0.00000000000000000000 -0.17167031019926071167
TOK-2-lemma:dois	0.00000000000000000000 -0.17166337370872497559
TOK+1-lemma:aprovar	0.00000000000000000000 -0.56241731345653533936
TOK+3-pos:NUM	0.00000000000000000000 -0.09184237197041511536
TOK+3-lemma:oito	0.00000000000000000000 -0.17161005735397338867
DEP-SUBJ-lemma:autarquia	0.00000000000000000000 -0.17160312086343765259
TOK+2-lemma:eleitorado	0.00000000000000000000 0.15649477392435073853
TOK+3-lemma:comunista	0.00000000000000000000 0.15648830682039260864
DEP-CDIR-lemma:eleitorado	0.00000000000000000000 0.15648173540830612183
DEP-CDIR-sem:sem-HH	0.00000000000000000000 0.71328264474868774414
DEP-MOD-lemma:pessoa	0.00000000000000000000 0.15639867633581161499
DEP-SUBJ-lemma:Vegas	0.00000000000000000000 0.30901786684989929199
DEP-CDIR-lemma:show	0.00000000000000000000 0.30899800360202789307
DEP-MOD-lemma:capital	0.00000000000000000000 0.30897827446460723877
TOK-1-lemma:fantástico	0.00000000000000000000 0.22092514485120773315
TOK-2-pos:VCOP	0.00000000000000000000 0.22091145068407058716
TOK-2-lemma:ser	0.00000000000000000000 0.04825139231979846954
TOK+1-lemma:Elvis	0.00000000000000000000 0.22088570892810821533
DEP-CDIR-lemma:Elvis	0.00000000000000000000 0.22087201476097106934
DEP-MOD-lemma:ecrã-gigante	0.00000000000000000000 0.22085834294557571411
DEP-MOD-lemma:vida	0.00000000000000000000 0.22084467113018035889
TOK-2-lemma:janeiro	0.00000000000000000000 0.29453401267528533936
TOK+2-lemma:palhaço	0.00000000000000000000 0.29450850188732147217
TOK+3-lemma:atacar	0.00000000000000000000 0.29448294639587402344
DEP-SUBJ-lemma:palhaço	0.00000000000000000000 0.29445753246545791626
DEP-CDIR-lemma:atacar	0.00000000000000000000 0.29443199932575225830
TOK-3-lemma:cinco_mil	0.00000000000000000000 0.11827161163091659546
TOK+3-lemma:televisão	0.00000000000000000000 0.11826441064476966858
DEP-SUBJ-lemma:prova	0.00000000000000000000 0.11825720593333244324
DEP-SUBJ-sem:sem-occ	0.00000000000000000000 0.36149659752845764160
DEP-CDIR-lemma:existir	0.00000000000000000000 0.11822100728750228882
DEP-MOD-lemma:televisão	0.00000000000000000000 0.48307850956916809082
DEP-MOD-sem:sem-sem-w	0.00000000000000000000 0.56910955905914306641
DEP-MOD-lemma:pensar	0.00000000000000000000 0.11815416440367698669
TOK-2-lemma:depois_de	0.00000000000000000000 0.11312494799494743347
DEP-SUBJ-lemma:encontro_sexual	0.00000000000000000000 0.11312418058514595032
TOK-2-lemma:a	0.00000000000000000000 0.45898224413394927979
TOK-3-lemma:começar	0.00000000000000000000 0.03345406427979469299
TOK+1-lemma:a	0.00000000000000000000 -0.15668123587965965271
TOK+3-lemma:cimo	0.00000000000000000000 0.03345203679054975510
DEP-SUBJ-lemma:incêndio	0.00000000000000000000 0.03345170151442289352
DEP-MOD-lemma:cimo	0.00000000000000000000 0.03345138579607009888
DEP-MOD-lemma:caminhar	0.00000000000000000000 0.03345105983316898346
DEP-CDIR-lemma:quadro	0.00000000000000000000 0.14064802229404449463
TOK+2-lemma:pai	0.00000000000000000000 0.10247006267309188843
TOK+3-lemma:sobressaltar	0.00000000000000000000 0.19143995642662048340
DEP-MOD-lemma:revelação	0.00000000000000000000 0.10245915129780769348
TOK-3-lemma:de	0.00000000000000000000 -0.29422191530466079712
TOK+2-lemma:filho	0.00000000000000000000 0.08894737437367439270
DEP-MOD-lemma:presença	0.00000000000000000000 0.08894612640142440796
DEP-MOD-lemma:ter_a_ver	0.00000000000000000000 0.08894480764865875244
DEP-MOD-pos:NUM	0.00000000000000000000 -0.53085172176361083984
DEP-MOD-lemma:noventa	0.00000000000000000000 -0.50861328840255737305
DEP-MOD-lemma:saída	0.00000000000000000000 -0.50852960348129272461
TOK+3-lemma:galeria_municipal_de_Odemira_de	0.00000000000000000000 0.00557630881667137146
DEP-SUBJ-lemma:mosquito	0.00000000000000000000 0.00557568366639316082
DEP-SUBJ-sem:sem-A	0.00000000000000000000 0.36424316465854644775
DEP-MOD-lemma:galeria_municipal_de_Odemira_de	0.00000000000000000000 0.00557533127721399069
DEP-MOD-pos:PP	0.00000000000000000000 -0.37569271028041839600
DEP-MOD-lemma:de_o_mês	0.00000000000000000000 0.00557090202346444130
TOK-1-lemma:filho	0.00000000000000000000 0.22544325143098831177
DEP-MOD-lemma:acidente_mortal	0.00000000000000000000 0.22541455179452896118
TOK-2-lemma:século	0.00000000000000000000 0.06434561498463153839
TOK-3-lemma:esse	0.00000000000000000000 0.21055468171834945679
DEP-SUBJ-lemma:conceção	0.00000000000000000000 0.06434015370905399323
DEP-SUBJ-sem:sem-event	0.00000000000000000000 0.46585568785667419434
DEP-CDIR-lemma:mundo	0.00000000000000000000 0.16146994382143020630
DEP-MOD-lemma:como	0.00000000000000000000 0.10335197299718856812
DEP-CDIR-pos:REL	0.00000000000000000000 -0.35641783475875854492
DEP-CDIR-lemma:que	0.00000000000000000000 -0.35626590251922607422
DEP-MOD-lemma:ideia_pré-concebida	0.00000000000000000000 0.15517271310091018677
TOK-1-lemma:ainda	0.00000000000000000000 -0.28195758163928985596
TOK-2-lemma:legitimamente	0.00000000000000000000 -0.28195103257894515991
DEP-CDIR-lemma:modo	0.00000000000000000000 -0.28194445371627807617
DEP-MOD-lemma:Direito	0.00000000000000000000 -0.28193800896406173706
DEP-MOD-lemma:aprendizagem	0.00000000000000000000 -0.28193143755197525024
DEP-MOD-sem:sem-process	0.00000000000000000000 -0.50454571843147277832
TOK+2-lemma:só	0.00000000000000000000 0.14346371963620185852
TOK+3-lemma:este	0.00000000000000000000 0.14345972612500190735
DEP-MOD-pos:ART	0.00000000000000000000 0.07226296514272689819
DEP-MOD-lemma:o	0.00000000000000000000 -0.01365447766147553921
DEP-MOD-lemma:apoiar	0.00000000000000000000 0.14345400780439376831
TOK-1-lemma:a_gente	0.00000000000000000000 0.11934329196810722351
TOK-2-lemma:dia	0.00000000000000000000 0.11934259161353111267
TOK+1-lemma::	0.00000000000000000000 -0.24713286012411117554
TOK+2-lemma:"	0.00000000000000000000 0.06581211462616920471
TOK+3-lemma:Deus	0.00000000000000000000 0.11933137848973274231
DEP-SUBJ-lemma:a_gente	0.00000000000000000000 0.11933067068457603455
DEP-MOD-lemma:talvez	0.00000000000000000000 0.11932995915412902832
TOK-2-lemma:"_sociedade_"	0.00000000000000000000 0.06586108915507793427
TOK+2-lemma:espetáculo	0.00000000000000000000 0.06586062349379062653
TOK+3-lemma:sentar	0.00000000000000000000 0.06586016342043876648
DEP-SUBJ-lemma:cadeira	0.00000000000000000000 0.06585967354476451874
DEP-CDIR-lemma:espetáculo	0.00000000000000000000 0.06585919670760631561
DEP-CDIR-sem:sem-occ	0.00000000000000000000 0.30821399390697479248
DEP-CDIR-sem:sem-sem-w	0.00000000000000000000 0.41425423324108123779
TOK-2-lemma:se	0.00000000000000000000 -0.16355237364768981934
DEP-SUBJ-lemma:produto	0.00000000000000000000 0.13014391437172889709
DEP-MOD-lemma:prateleira	0.00000000000000000000 0.13013941422104835510
TOK+3-lemma:canal_codificado	0.00000000000000000000 0.02814132161438465118
DEP-SUBJ-lemma:Boavista	0.00000000000000000000 0.02814121823757886887
DEP-MOD-lemma:canal_codificado	0.00000000000000000000 0.02814111206680536270
TOK-2-lemma:nunca	0.00000000000000000000 0.14689624309539794922
TOK+2-lemma:o_militar	0.00000000000000000000 -0.26757098734378814697
TOK+3-lemma:indonésio	0.00000000000000000000 -0.26755447685718536377
DEP-SUBJ-lemma:acordo	0.00000000000000000000 -0.26753792911767959595
DEP-MOD-lemma:honrar	0.00000000000000000000 -0.26752144098281860352
DEP-MOD-lemma:um	0.00000000000000000000 0.08585830032825469971
DEP-MOD-lemma:cena	0.00000000000000000000 0.08585814386606216431
TOK-1-pos:PASTPART	0.00000000000000000000 -0.11313708871603012085
TOK-2-lemma:ter	0.00000000000000000000 -0.11313559114933013916
TOK-3-lemma:)	0.00000000000000000000 -0.16734676063060760498
TOK+3-lemma:entrave	0.00000000000000000000 -0.16734202951192855835
DEP-MOD-lemma:nomeação	0.00000000000000000000 -0.16733729839324951172
TOK-2-lemma:quem	0.00000000000000000000 -0.24261407554149627686
DEP-CDIR-lemma:dependência	0.00000000000000000000 -0.33790320158004760742
DEP-CDIR-sem:sem-building	0.00000000000000000000 -0.33789393305778503418
TOK-1-lemma:casal	0.00000000000000000000 0.27399833500385284424
TOK-2-lemma:cada	0.00000000000000000000 0.27396176010370254517
DEP-SUBJ-lemma:casal	0.00000000000000000000 0.27392527461051940918
DEP-MOD-lemma:médico	0.00000000000000000000 0.27388887107372283936
DEP-MOD-sem:sem-Hprof	0.00000000000000000000 -0.30584761500358581543
TOK-2-lemma:Viena	0.00000000000000000000 -0.26109139621257781982
TOK+1-lemma:agora	0.00000000000000000000 0.14303252846002578735
DEP-SUBJ-lemma:Paris	0.00000000000000000000 -0.26107110083103179932
DEP-CDIR-lemma:presidência	0.00000000000000000000 -0.26106304675340652466
DEP-MOD-lemma:de_este_ano	0.00000000000000000000 -0.26105504482984542847
DEP-SUBJ-lemma:diferença	0.00000000000000000000 0.20919631421566009521
DEP-MOD-lemma:música	0.00000000000000000000 0.22774057835340499878
DEP-MOD-sem:sem-sem-l	0.00000000000000000000 0.22773456573486328125
TOK-2-lemma:duro	0.00000000000000000000 0.16637317091226577759
TOK-3-lemma:ser	0.00000000000000000000 0.16637003421783447266
TOK+1-lemma:de	0.00000000000000000000 0.16636681556701660156
TOK+2-lemma:tudo	0.00000000000000000000 0.16636369377374649048
DEP-MOD-lemma:tudo	0.00000000000000000000 0.16636046767234802246
TOK-2-lemma:já	0.00000000000000000000 0.41864702105522155762
TOK-1-pos:VMOD	0.00000000000000000000 0.19779563695192337036
TOK-1-lemma:ser_o_prazer_de	0.00000000000000000000 0.19778699427843093872
TOK-2-lemma:nem_que	0.00000000000000000000 0.19777841120958328247
TOK-3-lemma:-	0.00000000000000000000 0.34133140742778778076
TOK+1-lemma:para	0.00000000000000000000 0.19773792475461959839
TOK+2-pos:VINF	0.00000000000000000000 0.60886129736900329590
DEP-SUBJ-lemma:prazer	0.00000000000000000000 0.41033014655113220215
DEP-MOD-lemma:campo	0.00000000000000000000 0.00187856482807546854
DEP-MOD-sem:sem-B	0.00000000000000000000 0.17437847703695297241
DEP-MOD-lemma:igreja	0.00000000000000000000 0.00187898438889533281
DEP-MOD-sem:sem-building	0.00000000000000000000 0.04810918308794498444
TOK-2-lemma:sósia	0.00000000000000000000 0.15371806174516677856
TOK+2-lemma:em	0.00000000000000000000 0.46876996755599975586
TOK+3-lemma:Antioch	0.00000000000000000000 0.15362077951431274414
DEP-SUBJ-lemma:Dave_Winn	0.00000000000000000000 0.15360952913761138916
DEP-MOD-lemma:Antioch	0.00000000000000000000 0.15359825640916824341
DEP-MOD-lemma:Tenessee	0.00000000000000000000 0.15358704328536987305
TOK-1-lemma:pelo_que	0.00000000000000000000 0.12224952504038810730
DEP-CDIR-lemma:Cruz	0.00000000000000000000 0.12224943190813064575
DEP-CDIR-lemma:estilo	0.00000000000000000000 0.14460409805178642273
DEP-MOD-lemma:querer	0.00000000000000000000 -0.30473428964614868164
